,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
log_lik[10],-3.3951,0.00215427,0.156852,0.145572,-3.68168,-3.37316,-3.18207,5524.1,3161.42,3825.55,1.00162
log_lik[11],-4.1578,0.00799725,0.483184,0.414227,-5.0345,-4.07526,-3.5425,3645.77,3338.05,2524.77,1.00119
log_lik[12],-3.19824,0.00127478,0.0734516,0.0678987,-3.32293,-3.19431,-3.09246,3380.53,3423.94,2341.09,1.00146
log_lik[13],-3.3326,0.00190255,0.135748,0.123196,-3.58138,-3.31155,-3.1494,5350.2,3164.28,3705.13,1.00096
log_lik[14],-3.19015,0.00121411,0.0676823,0.0639214,-3.30288,-3.18652,-3.08747,3202.24,2901.67,2217.62,1.00019
log_lik[15],-3.21072,0.00137506,0.0812473,0.073943,-3.35234,-3.2029,-3.09704,3603.44,3483.86,2495.46,1.0012
log_lik[16],-3.20801,0.00130713,0.0828327,0.0700958,-3.35419,-3.19951,-3.09618,4105.8,3410.64,2843.35,1.00117
log_lik[17],-4.17621,0.00570234,0.335516,0.336585,-4.77479,-4.15165,-3.66703,3572.92,3747.1,2474.32,1.00035
log_lik[18],-3.20301,0.00148676,0.0798727,0.0722027,-3.34591,-3.19463,-3.09102,3109.51,2841.07,2153.4,1.00014
log_lik[19],-3.26,0.00170679,0.114156,0.090723,-3.47173,-3.23975,-3.11683,4649.83,3347.36,3220.1,1.00124
log_lik[20],-3.46905,0.00303447,0.184085,0.172885,-3.81851,-3.43827,-3.22326,3682.39,3720.33,2550.13,1.00038
log_lik[21],-3.43247,0.00282239,0.185647,0.163305,-3.77565,-3.39979,-3.19583,4449.32,3749.59,3081.25,1.00059
log_lik[22],-3.34112,0.00227765,0.151523,0.126434,-3.62381,-3.31214,-3.15179,4603.56,3854.74,3188.06,1.00086
log_lik[23],-3.31183,0.00245349,0.138659,0.125114,-3.57447,-3.28772,-3.12939,3315.69,3425.1,2296.18,1.00022
log_lik[24],-3.61691,0.00380544,0.236117,0.230342,-4.04749,-3.59215,-3.28101,4006.06,3584.12,2774.28,1.00019
log_lik[25],-4.93336,0.00715508,0.482793,0.473403,-5.78434,-4.90533,-4.18845,4586.6,3989.55,3176.32,1.00029
log_lik[26],-3.61104,0.00372084,0.240486,0.220857,-4.04714,-3.57469,-3.28985,4188.99,3787.97,2900.96,1.00032
log_lik[27],-3.26889,0.00220404,0.1136,0.100594,-3.48926,-3.25007,-3.11802,2898.98,3032.37,2007.61,1.00105
log_lik[28],-3.39492,0.0030144,0.16132,0.152441,-3.70178,-3.3699,-3.1703,3127.52,3029.16,2165.87,1.00091
log_lik[29],-3.7463,0.00441609,0.257538,0.249836,-4.2148,-3.71301,-3.3865,3382.81,3857.17,2342.66,1.00048
log_lik[30],-3.86291,0.00481219,0.276665,0.280295,-4.35721,-3.83876,-3.45396,3455.08,3779.27,2392.72,1.00073
log_lik[31],-3.42356,0.00276894,0.169778,0.156413,-3.74872,-3.39557,-3.201,3778.33,3832.73,2616.57,1.00038
log_lik[32],-3.19855,0.00116511,0.072187,0.0675035,-3.32314,-3.19271,-3.09484,3962.96,3535.37,2744.43,1.00125
log_lik[33],-4.12654,0.00534873,0.34685,0.335066,-4.73933,-4.09639,-3.60682,4262.77,3478.25,2952.05,1.00024
log_lik[34],-3.23275,0.00187535,0.0955544,0.0825225,-3.42015,-3.21876,-3.10317,2784.0,3051.3,1927.98,1.00185
log_lik[35],-3.53603,0.00340046,0.203669,0.195364,-3.92005,-3.50526,-3.26076,3570.44,3719.33,2472.6,1.00039
log_lik[36],-3.59878,0.00369423,0.235195,0.207877,-4.04613,-3.5578,-3.29264,4023.21,3685.49,2786.16,1.00121
log_lik[37],-3.20754,0.00132128,0.0832918,0.0719363,-3.35459,-3.19783,-3.09293,4087.98,3279.43,2831.01,1.00092
log_lik[38],-3.7845,0.00360039,0.237728,0.233993,-4.20074,-3.76913,-3.42813,4494.91,3663.5,3112.82,1.00014
log_lik[39],-3.42791,0.00273918,0.170772,0.168857,-3.7333,-3.41066,-3.18537,3937.02,3392.88,2726.47,1.00121
log_lik[40],-3.22863,0.00123507,0.086846,0.0742619,-3.38302,-3.21814,-3.10593,5211.96,3518.83,3609.39,1.00037
log_lik[41],-3.24911,0.00136279,0.0962634,0.0827673,-3.42624,-3.23559,-3.11673,5262.64,3471.06,3644.49,1.00038
log_lik[42],-4.31393,0.00554988,0.345535,0.33211,-4.93784,-4.27479,-3.8191,3987.98,3278.79,2761.76,1.00021
log_lik[43],-3.25535,0.00182512,0.100443,0.0929337,-3.4368,-3.24335,-3.11388,3179.6,3193.82,2201.94,1.00021
log_lik[44],-3.25032,0.00173348,0.110829,0.0902145,-3.45757,-3.22976,-3.11232,4102.43,3477.45,2841.02,1.00077
log_lik[45],-3.18874,0.00119523,0.0662703,0.0655525,-3.30124,-3.18586,-3.08691,3257.61,3146.92,2255.96,1.00005
log_lik[46],-3.21277,0.00129356,0.0798694,0.0743188,-3.3559,-3.20529,-3.09749,3971.26,3629.82,2750.18,1.0001
log_lik[47],-4.24503,0.00563838,0.35845,0.353406,-4.86472,-4.22828,-3.68649,4111.79,3617.42,2847.5,1.00067
log_lik[48],-3.26088,0.00143455,0.101334,0.0879579,-3.44842,-3.24673,-3.12338,5262.13,3587.18,3644.13,1.00036
log_lik[49],-3.23176,0.00125473,0.0883406,0.0755236,-3.38958,-3.22062,-3.10719,5225.39,3445.9,3618.69,1.00038
log_lik[50],-3.50634,0.00311521,0.194771,0.192714,-3.85376,-3.48792,-3.22262,3961.85,3485.48,2743.66,1.00124
log_lik[51],-3.1927,0.0010511,0.0679086,0.0645817,-3.30462,-3.18838,-3.09251,4436.32,3281.06,3072.24,1.00111
log_lik[52],-3.3055,0.00210407,0.119679,0.113982,-3.51789,-3.29082,-3.13484,3334.23,3279.54,2309.03,1.0003
log_lik[53],-5.31072,0.0065529,0.470926,0.45625,-6.12141,-5.28119,-4.58567,5260.43,3539.91,3642.96,0.999876
log_lik[54],-3.21626,0.00152737,0.0823397,0.0761386,-3.36431,-3.20962,-3.09811,3070.58,3390.28,2126.44,1.00005
log_lik[55],-3.25032,0.00173348,0.110829,0.0902145,-3.45757,-3.22976,-3.11232,4102.43,3477.45,2841.02,1.00077
log_lik[56],-3.19402,0.00112523,0.0695136,0.0662665,-3.31666,-3.18905,-3.09178,4019.33,3318.44,2783.47,0.999824
log_lik[57],-5.15738,0.00789963,0.508822,0.510551,-6.02676,-5.13581,-4.36587,4199.66,3518.92,2908.35,1.00059
log_lik[58],-3.1941,0.00114066,0.0707624,0.0657867,-3.31688,-3.18906,-3.09,4052.83,3454.93,2806.67,1.00007
log_lik[59],-3.20137,0.00124671,0.0782028,0.069109,-3.33474,-3.19367,-3.09105,4084.89,3430.81,2828.87,1.00084
log_lik[60],-6.77211,0.00880332,0.654495,0.640752,-7.92147,-6.73517,-5.7528,5609.6,3464.36,3884.76,0.999817
log_lik[61],-3.30939,0.002163,0.137652,0.123095,-3.56292,-3.2841,-3.13937,4228.79,3345.37,2928.52,0.999952
log_lik[62],-3.19579,0.00126703,0.0722764,0.0665711,-3.31656,-3.19184,-3.08924,3481.46,3468.06,2410.98,1.00012
log_lik[63],-3.26865,0.00215973,0.120042,0.106207,-3.49532,-3.2457,-3.11333,3224.47,3580.89,2233.02,1.00053
log_lik[64],-3.19585,0.00134505,0.0720378,0.0673234,-3.31754,-3.19166,-3.08919,3037.5,3384.52,2103.53,1.00043
log_lik[65],-3.77115,0.00473978,0.279349,0.275883,-4.28346,-3.73351,-3.38782,3318.03,2848.57,2297.81,0.999484
log_lik[66],-3.40628,0.00322917,0.171564,0.168188,-3.71881,-3.38034,-3.17502,3008.84,2852.81,2083.68,0.999837
log_lik[67],-3.57296,0.00391622,0.248053,0.218021,-4.05602,-3.52816,-3.26181,4006.67,3728.43,2774.71,0.999986
log_lik[68],-3.77304,0.00482749,0.272486,0.276454,-4.25311,-3.74944,-3.37783,3337.6,2859.41,2311.36,0.999611
